tiempo,To,RH,P,Ws,Wd,Ig,Ib,Id
2012-01-01 00:00:00,19.3,58,87415,0.0,26,0,0,0
2012-01-01 01:00:00,18.6,59,87602,0.0,26,0,0,0
2012-01-01 02:00:00,17.9,61,87788,0.0,30,0,0,0
2012-01-01 03:00:00,17.3,66,87554,0.0,30,0,0,0
2012-01-01 04:00:00,16.6,71,87321,0.0,27,0,0,0
2012-01-01 05:00:00,15.9,76,87087,0.0,26,0,0,0
2012-01-01 06:00:00,17.0,72,87096,0.0,27,0,0,0
2012-01-01 07:00:00,18.0,70,87140,0.0,34,20,151,11
2012-01-01 08:00:00,19.0,68,87185,0.0,61,164,522,37
2012-01-01 09:00:00,20.0,60,87229,0.0,95,369,812,58
2012-01-01 10:00:00,20.0,64,87229,1.0,108,568,931,68
2012-01-01 11:00:00,20.0,68,87229,2.1,160,717,981,75
2012-01-01 12:00:00,21.0,60,87273,1.8,135,800,999,79
2012-01-01 13:00:00,22.0,53,87316,1.5,160,810,998,80
2012-01-01 14:00:00,21.7,53,87302,1.3,164,747,977,79
2012-01-01 15:00:00,21.3,53,87287,1.2,176,617,932,74
2012-01-01 16:00:00,21.0,53,87273,1.0,140,433,846,65
2012-01-01 17:00:00,19.0,64,87185,0.0,198,219,650,46
2012-01-01 18:00:00,17.1,69,87104,0.0,221,0,0,0
2012-01-01 19:00:00,17.0,69,87101,0.0,269,0,0,0
2012-01-01 20:00:00,17.3,67,87115,0.0,50,0,0,0
2012-01-01 21:00:00,17.0,56,87080,0.2,85,0,0,0
2012-01-01 22:00:00,16.6,49,87089,0.5,89,0,0,0
2012-01-01 23:00:00,15.9,44,87143,0.8,93,0,0,0
2012-01-02 00:00:00,15.1,40,87190,1.0,91,0,0,0
2012-01-02 01:00:00,14.7,44,87280,1.0,78,0,0,0
2012-01-02 02:00:00,14.2,47,87319,1.0,330,0,0,0
2012-01-02 03:00:00,14.2,49,87237,0.8,69,0,0,0
2012-01-02 04:00:00,14.9,51,87179,0.5,67,0,0,0
2012-01-02 05:00:00,16.1,51,87147,0.2,360,0,0,0
2012-01-02 06:00:00,15.0,55,87006,0.0,71,0,0,0
2012-01-02 07:00:00,17.0,52,87095,0.0,66,14,42,11
2012-01-02 08:00:00,19.0,49,87185,0.0,79,148,399,44
2012-01-02 09:00:00,23.0,36,87360,2.1,160,347,679,68
2012-01-02 10:00:00,23.5,35,87381,1.5,171,551,882,78
2012-01-02 11:00:00,24.0,34,87403,1.0,130,699,937,86
2012-01-02 12:00:00,25.5,30,87466,1.0,191,783,959,90
2012-01-02 13:00:00,27.0,26,87530,1.0,150,795,958,93
2012-01-02 14:00:00,27.0,24,87530,1.0,205,681,768,157
2012-01-02 15:00:00,27.0,23,87530,1.0,150,553,712,154
2012-01-02 16:00:00,26.0,26,87488,0.0,212,423,778,82
2012-01-02 17:00:00,25.0,30,87445,0.0,216,213,566,58
2012-01-02 18:00:00,19.4,45,86992,0.4,229,0,0,0
2012-01-02 19:00:00,18.4,47,86893,0.5,239,0,0,0
2012-01-02 20:00:00,17.5,49,86811,0.6,320,0,0,0
2012-01-02 21:00:00,15.9,53,87027,0.6,244,0,0,0
2012-01-02 22:00:00,14.3,56,87121,0.9,247,0,0,0
2012-01-02 23:00:00,12.6,60,87290,1.0,340,0,0,0
2012-01-03 00:00:00,11.1,65,87531,1.0,259,0,0,0
2012-01-03 01:00:00,10.4,67,87562,1.0,272,0,0,0
2012-01-03 02:00:00,10.0,70,87587,1.0,320,0,0,0
2012-01-03 03:00:00,10.6,69,87426,0.8,297,0,0,0
2012-01-03 04:00:00,12.3,64,87306,0.5,331,0,0,0
2012-01-03 05:00:00,14.6,57,87203,0.2,360,0,0,0
2012-01-03 06:00:00,13.0,67,86915,0.0,85,0,0,0
2012-01-03 07:00:00,17.0,52,87096,0.0,82,18,122,11
2012-01-03 08:00:00,19.0,46,87185,0.0,144,107,194,67
2012-01-03 09:00:00,21.0,38,87273,0.0,207,352,740,66
2012-01-03 10:00:00,22.0,35,87316,2.1,170,485,610,167
2012-01-03 11:00:00,22.0,33,87316,0.0,213,605,558,235
2012-01-03 12:00:00,22.0,33,87316,0.0,215,663,512,292
2012-01-03 13:00:00,23.0,33,87360,0.0,218,668,499,301
2012-01-03 14:00:00,23.0,33,87360,0.0,221,605,455,288
2012-01-03 15:00:00,24.0,34,87403,0.0,226,573,754,139
2012-01-03 16:00:00,23.0,38,87360,0.0,232,329,359,140
2012-01-03 17:00:00,21.0,46,87273,0.0,232,186,442,81
2012-01-03 18:00:00,17.7,54,87235,0.7,233,0,0,0
2012-01-03 19:00:00,17.1,55,87235,0.8,249,0,0,0
2012-01-03 20:00:00,16.6,55,87258,0.9,326,0,0,0
2012-01-03 21:00:00,16.2,54,87303,1.0,354,0,0,0
2012-01-03 22:00:00,15.8,53,87373,1.0,2,0,0,0
2012-01-03 23:00:00,15.4,52,87445,1.0,210,0,0,0
2012-01-04 00:00:00,15.0,52,87464,0.9,29,0,0,0
2012-01-04 01:00:00,14.8,53,87436,0.8,39,0,0,0
2012-01-04 02:00:00,15.1,52,87367,0.6,360,0,0,0
2012-01-04 03:00:00,15.5,52,87246,0.4,41,0,0,0
2012-01-04 04:00:00,16.1,52,87167,0.2,32,0,0,0
2012-01-04 05:00:00,17.4,48,87150,0.1,360,0,0,0
2012-01-04 06:00:00,16.0,55,87051,0.0,22,0,0,0
2012-01-04 07:00:00,17.0,52,87096,0.0,19,14,64,10
2012-01-04 08:00:00,20.0,40,87229,0.0,22,127,276,59
2012-01-04 09:00:00,21.0,35,87273,0.0,55,285,394,129
2012-01-04 10:00:00,23.0,31,87360,0.0,88,446,440,200
2012-01-04 11:00:00,23.0,31,87360,3.1,140,571,461,268
2012-01-04 12:00:00,22.0,33,87316,2.1,170,609,379,335
2012-01-04 13:00:00,24.0,29,87403,2.1,180,642,431,324
2012-01-04 14:00:00,23.0,31,87360,0.0,137,648,595,242
2012-01-04 15:00:00,22.0,33,87316,0.0,138,546,628,182
2012-01-04 16:00:00,22.0,35,87316,0.0,136,376,562,142
2012-01-04 17:00:00,21.0,40,87273,0.0,135,182,375,87
2012-01-04 18:00:00,17.1,43,87291,0.6,117,0,0,0
2012-01-04 19:00:00,15.6,46,87333,0.9,93,0,0,0
2012-01-04 20:00:00,14.5,50,87374,1.0,250,0,0,0
2012-01-04 21:00:00,14.6,51,87342,1.0,49,0,0,0
2012-01-04 22:00:00,14.9,52,87346,1.0,40,0,0,0
2012-01-04 23:00:00,15.4,52,87385,1.0,33,0,0,0
2012-01-05 00:00:00,15.8,51,87412,1.0,27,0,0,0
2012-01-05 01:00:00,15.2,52,87499,1.0,26,0,0,0
2012-01-05 02:00:00,14.4,52,87536,1.0,360,0,0,0
2012-01-05 03:00:00,14.4,53,87411,0.8,22,0,0,0
2012-01-05 04:00:00,15.0,53,87299,0.5,14,0,0,0
2012-01-05 05:00:00,16.5,49,87224,0.2,360,0,0,0
2012-01-05 06:00:00,16.0,55,87051,0.0,10,0,0,0
2012-01-05 07:00:00,17.0,52,87096,0.0,11,14,71,10
2012-01-05 08:00:00,20.0,40,87229,0.0,17,125,268,60
2012-01-05 09:00:00,21.0,35,87273,0.0,35,292,431,127
2012-01-05 10:00:00,23.0,31,87360,0.0,62,422,376,228
2012-01-05 11:00:00,23.0,31,87360,3.1,140,573,468,262
2012-01-05 12:00:00,22.0,33,87316,2.1,170,497,268,308
2012-01-05 13:00:00,24.0,29,87403,2.1,180,465,175,336
2012-01-05 14:00:00,23.0,31,87360,0.0,116,250,16,239
2012-01-05 15:00:00,22.0,33,87316,0.0,108,304,106,243
2012-01-05 16:00:00,22.0,35,87316,0.0,93,159,70,118
2012-01-05 17:00:00,21.0,40,87273,0.0,79,50,3,49
2012-01-05 18:00:00,20.0,40,87229,0.0,64,0,0,0
2012-01-05 19:00:00,17.9,43,87271,0.5,55,0,0,0
2012-01-05 20:00:00,15.8,45,87313,1.0,250,0,0,0
2012-01-05 21:00:00,14.9,48,87353,1.0,40,0,0,0
2012-01-05 22:00:00,14.0,52,87394,1.0,37,0,0,0
2012-01-05 23:00:00,13.2,56,87435,1.0,34,0,0,0
2012-01-06 00:00:00,12.3,59,87475,1.0,39,0,0,0
2012-01-06 01:00:00,11.4,64,87516,1.0,40,0,0,0
2012-01-06 02:00:00,10.5,68,87557,1.0,320,0,0,0
2012-01-06 03:00:00,10.1,69,87577,1.0,41,0,0,0
2012-01-06 04:00:00,9.8,71,87596,1.0,42,0,0,0
2012-01-06 05:00:00,9.4,72,87616,1.0,360,0,0,0
2012-01-06 06:00:00,13.0,67,86915,0.0,39,0,0,0
2012-01-06 07:00:00,17.0,52,87096,0.0,35,18,157,10
2012-01-06 08:00:00,19.0,46,87185,0.0,39,142,401,45
2012-01-06 09:00:00,21.0,38,87273,0.0,60,331,639,78
2012-01-06 10:00:00,22.0,35,87316,2.1,170,449,450,204
2012-01-06 11:00:00,22.0,33,87316,0.0,97,592,518,250
2012-01-06 12:00:00,22.0,33,87316,0.0,108,613,388,334
2012-01-06 13:00:00,23.0,33,87360,0.0,117,501,185,364
2012-01-06 14:00:00,23.0,33,87360,0.0,124,503,227,344
2012-01-06 15:00:00,24.0,34,87403,0.0,126,496,473,227
2012-01-06 16:00:00,23.0,38,87360,0.0,127,283,186,201
2012-01-06 17:00:00,21.0,46,87273,0.0,128,182,443,85
2012-01-06 18:00:00,20.2,48,87264,0.2,122,0,0,0
2012-01-06 19:00:00,19.3,50,87255,0.3,110,0,0,0
2012-01-06 20:00:00,18.5,53,87246,0.5,86,0,0,0
2012-01-06 21:00:00,17.7,55,87237,0.7,63,0,0,0
2012-01-06 22:00:00,16.8,58,87228,0.8,47,0,0,0
2012-01-06 23:00:00,16.0,61,87219,1.0,210,0,0,0
2012-01-07 00:00:00,14.8,65,87294,1.0,29,0,0,0
2012-01-07 01:00:00,13.7,70,87369,1.0,24,0,0,0
2012-01-07 02:00:00,12.5,75,87445,1.0,360,0,0,0
2012-01-07 03:00:00,12.3,74,87443,1.0,21,0,0,0
2012-01-07 04:00:00,12.2,74,87441,1.0,21,0,0,0
2012-01-07 05:00:00,12.0,73,87439,1.0,330,0,0,0
2012-01-07 06:00:00,14.0,72,86960,2.1,310,0,0,0
2012-01-07 07:00:00,16.0,63,87051,2.1,300,12,42,10
2012-01-07 08:00:00,19.0,56,87185,0.0,27,123,257,59
2012-01-07 09:00:00,21.0,46,87273,0.0,41,278,365,137
2012-01-07 10:00:00,22.0,41,87316,2.1,200,510,688,126
2012-01-07 11:00:00,23.0,36,87359,1.0,74,678,827,119
2012-01-07 12:00:00,24.0,31,87403,0.0,92,799,982,86
2012-01-07 13:00:00,26.0,28,87488,0.0,102,814,984,86
2012-01-07 14:00:00,24.0,36,87416,2.0,10,755,966,85
2012-01-07 15:00:00,25.0,30,87452,1.0,110,629,926,79
2012-01-07 16:00:00,26.0,26,87488,0.0,113,447,844,68
2012-01-07 17:00:00,24.8,30,87217,1.0,180,232,653,50
2012-01-07 18:00:00,21.0,43,87273,0.0,118,0,0,0
