ts,TMP1,TMP10,TMP11,TMP12,TMP2,TMP3,TMP4,TMP5,TMP6,TMP7,TMP8,TMP9
2023-04-03 11:01:00,9.2,9.149999999999999,8.86,9.085,19.27,9.030000000000001,8.785,-4275.29,9.135,-8.96,9.745,9.459999999999999
2023-04-03 11:02:00,26.64,26.53,26.58,26.1,26.585,26.44,26.35,26.6,26.45,-8.96,26.63,26.875
2023-04-03 11:03:00,26.64,26.53,26.424999999999997,25.785,26.43,26.28,26.195,26.29,26.29,-8.96,26.63,26.875
2023-04-03 11:04:00,26.64,26.53,26.58,25.94,26.43,26.28,26.195,26.29,26.29,-8.96,26.475,27.03
2023-04-03 11:05:00,26.485,26.685000000000002,26.58,25.94,26.43,26.28,26.04,26.29,26.29,-8.96,26.475,27.03
2023-04-03 11:06:00,26.64,26.84,26.735,26.26,26.43,26.28,26.35,26.29,26.29,-8.96,26.475,27.34
2023-04-03 11:07:00,26.64,27.15,26.89,26.415,26.585,26.44,26.35,26.29,26.29,-8.96,26.63,27.494999999999997
2023-04-03 11:08:00,26.64,27.15,27.2,26.415,26.74,26.6,26.35,26.445,26.29,-8.96,26.63,27.65
2023-04-03 11:09:00,26.95,27.46,27.2,26.57,26.74,26.6,26.66,26.6,26.29,-8.96,26.63,27.805
2023-04-03 11:10:00,26.95,27.46,27.2,26.725,26.74,26.6,26.66,26.6,26.45,-8.96,26.63,27.96
2023-04-03 11:11:00,27.105,27.77,27.355,26.88,27.205,27.064999999999998,26.814999999999998,27.064999999999998,26.765,-8.96,27.085,28.28
2023-04-03 11:12:00,27.42,28.08,27.82,27.19,27.515,27.22,27.28,27.375,27.23,-8.96,27.24,28.59
2023-04-03 11:13:00,27.89,28.545,28.14,27.5,27.825000000000003,27.685000000000002,27.59,27.685000000000002,27.695,-8.96,27.55,28.9
2023-04-03 11:14:00,27.89,28.7,28.14,27.82,27.98,27.84,27.9,27.685000000000002,27.695,-8.96,27.86,28.9
2023-04-03 11:15:00,28.2,28.7,28.14,27.82,27.98,27.84,27.9,27.84,27.85,-8.96,27.86,29.055
2023-04-03 11:16:00,28.355,28.7,28.45,27.82,28.134999999999998,27.994999999999997,27.9,28.0,27.85,-8.96,27.86,29.055
2023-04-03 11:17:00,28.51,28.855,28.605,27.975,28.6,28.305,28.21,28.16,28.17,-8.96,28.17,29.21
2023-04-03 11:18:00,28.51,29.01,28.76,28.13,28.6,28.305,28.21,28.16,28.01,-8.96,28.17,29.365000000000002
2023-04-03 11:19:00,28.51,29.01,28.45,28.13,28.29,28.15,28.055,28.16,28.17,-8.96,28.17,29.52
2023-04-03 11:20:00,28.51,29.01,28.76,27.975,28.6,28.305,28.21,28.16,28.17,-8.96,28.17,29.52
2023-04-03 11:21:00,28.82,29.165,28.76,28.13,28.6,28.46,28.37,28.314999999999998,28.48,-8.96,28.48,29.52
